t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
28.0,58,0.07489152997732162,35.094520568847656,21.66617632646706,0.12968298302169143,-0.32954814067659466,0.35414637243490854,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,12.0,15.0,7.0,4.0,0.0,2.0,3.0,2.0
29.0,48,0.06521186232566833,29.557697296142578,13.583596328673321,0.1164127697779138,-0.3955939020167811,0.4123669097784498,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,11.0,15.0,7.0,4.0,0.0,3.0,1.0,0.0
30.0,72,0.0881262868642807,42.73979949951172,15.221881363724476,0.039999975068181634,-0.23304702753186357,0.23645489008877005,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,9.0,20.0,13.0,4.0,1.0,3.0,1.0,4.0
31.0,48,0.06790488958358765,28.562604904174805,14.533494156635275,-0.39453536005806306,-0.22980879950539498,0.4565854078551529,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,12.0,9.0,8.0,4.0,0.0,4.0,0.0,1.0
32.0,51,0.05963150039315224,29.724042892456055,11.344455277104572,0.1801723691349532,-0.3846194821530794,0.42472841752277984,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,12.0,5.0,6.0,3.0,1.0,7.0,0.0,0.0
33.0,51,0.06331797689199448,29.379526138305664,17.407469570938044,0.03820516655327011,-0.20019908952942966,0.20381194812811074,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,8.0,11.0,6.0,8.0,0.0,2.0,0.0,0.0
34.0,52,0.0720028281211853,29.901071548461914,10.83493581647804,0.07114107571864307,-0.3315095300590791,0.33905695859898993,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,13.0,5.0,7.0,1.0,2.0,0.0,0.0
35.0,69,0.080770343542099,40.409912109375,9.403312434752683,-0.301974913677191,-0.2572016092014198,0.3966629756684468,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,9.0,19.0,9.0,6.0,2.0,4.0,0.0,2.0
36.0,62,0.08260650932788849,35.734615325927734,23.242939259702926,-0.06536019792086131,-0.36893545814678214,0.37468030072347036,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,5.0,9.0,10.0,7.0,3.0,0.0,1.0,4.0
37.0,62,0.07754138112068176,36.16929626464844,14.020642444877993,-0.08778054973119878,-0.31276334066020256,0.32484816787545745,0.0,0.0,0.0,0.0,7.0,7.0,3.0,1.0,9.0,18.0,5.0,7.0,1.0,1.0,3.0,0.0
38.0,55,0.06948410719633102,32.14177322387695,18.971848781095503,-0.14756051656542515,-0.17537479793840755,0.22919516967203385,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,13.0,13.0,8.0,4.0,0.0,0.0,3.0,1.0
39.0,43,0.05977146700024605,23.82923126220703,14.82178844075327,0.14637972787067585,-0.41615862520514424,0.4411519308176366,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,7.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0
40.0,63,0.08412773162126541,35.13482666015625,16.252282803904265,0.3506857042177202,-0.19871808348536196,0.40307485638126034,0.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,16.0,21.0,8.0,3.0,0.0,0.0,1.0,0.0
41.0,53,0.06402268260717392,29.970155715942383,15.570519370148714,0.6056486444808599,-0.26462300821093826,0.6609354106386715,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,11.0,10.0,14.0,4.0,0.0,1.0,0.0,0.0
42.0,48,0.0604715421795845,26.248048782348633,16.323660780134222,0.3898859793007544,-0.2880138389001755,0.4847298714266788,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,6.0,14.0,6.0,7.0,0.0,0.0,1.0,0.0
43.0,63,0.09291958063840866,33.88490676879883,15.235656251109328,0.30276994264433077,-0.40101915388725023,0.5024798502958079,0.0,0.0,0.0,0.0,7.0,9.0,5.0,2.0,7.0,15.0,8.0,10.0,0.0,0.0,0.0,0.0
